股票代码:ID,股票名称,:LABEL
300124,汇川技术,股票
300137,先河环保,股票
300165,天瑞仪器,股票
300203,聚光科技,股票
300259,新天科技,股票
300286,安科瑞,股票
300306,远方信息,股票
300338,开元股份,股票
300349,金卡智能,股票
300354,东华测试,股票
300360,炬华科技,股票
300370,安控科技,股票
300371,汇中股份,股票
300410,正业科技,股票
300416,苏试试验,股票
300417,南华仪器,股票
300430,诚益通,股票
300445,康斯特,股票
600004,白云机场,股票
600009,上海机场,股票
600017,日照港,股票
600018,上港集团,股票
600026,中远海能,股票
600029,南方航空,股票
600057,象屿股份,股票
600087,退市长油,股票
600115,东方航空,股票
600119,长江投资,股票
600125,铁龙物流,股票
600180,瑞茂通,股票
600190,锦州港,股票
600221,海航控股,股票
600242,中昌数据,股票
600270,外运发展,股票
600279,重庆港九,股票
600317,营口港,股票
600386,北巴传媒,股票
600428,中远海特,股票
600495,晋西车轴,股票
600561,江西长运,股票
600575,皖江物流,股票
600611,大众交通,股票
600650,锦江投资,股票
600662,强生控股,股票
600692,亚通股份,股票
600708,光明地产,股票
600717,天津港,股票
600751,天海投资,股票
600787,中储股份,股票
600794,保税科技,股票
600798,宁波海运,股票
600834,申通地铁,股票
600835,上海机电,股票
600894,广日股份,股票
600896,览海投资,股票
600897,厦门空港,股票
600967,内蒙一机,股票
601000,唐山港,股票
601006,大秦铁路,股票
601008,连云港,股票
601018,宁波港,股票
601021,春秋航空,股票
601111,中国国航,股票
601299,中国北车,股票
601313,江南嘉捷,股票
601333,广深铁路,股票
601766,中国中车,股票
601866,中远海发,股票
601872,招商轮船,股票
601880,大连港,股票
601919,中远海控,股票
603111,康尼机电,股票
603128,华贸物流,股票
603167,渤海轮渡,股票
603611,诺力股份,股票
000022,深赤湾Ａ,股票
000088,盐 田 港,股票
000089,深圳机场,股票
000099,中信海直,股票
000421,南京公用,股票
000507,珠海港,股票
000520,长航凤凰,股票
000582,北部湾港,股票
000594,国恒退,股票
000905,厦门港务,股票
000920,南方汇通,股票
000996,中国中期,股票
002040,南 京 港,股票
002183,怡 亚 通,股票
002210,飞马国际,股票
002245,澳洋顺昌,股票
002320,海峡股份,股票
002357,富临运业,股票
002367,康力电梯,股票
002448,中原内配,股票
002492,恒基达鑫,股票
002592,八菱科技,股票
002627,宜昌交运,股票
002682,龙洲股份,股票
002689,远大智能,股票
002711,欧浦智网,股票
300011,鼎汉技术,股票
300013,新宁物流,股票
300240,飞力达,股票
300350,华鹏飞,股票
600038,中直股份,股票
600118,中国卫星,股票
600316,洪都航空,股票
600343,航天动力,股票
600372,中航电子,股票
600391,航发科技,股票
600879,航天电子,股票
600893,航发动力,股票
