:START_ID,:END_ID,:TYPE
600062,10000131,belong_to
600079,10000004,belong_to
600079,10000005,belong_to
600079,10000027,belong_to
600079,10000125,belong_to
600079,10000012,belong_to
600079,10000079,belong_to
600079,10000000,belong_to
600079,10000026,belong_to
600079,10000088,belong_to
600080,10000030,belong_to
600080,10000109,belong_to
600085,10000038,belong_to
600085,10000004,belong_to
600085,10000107,belong_to
600085,10000131,belong_to
600085,10000132,belong_to
600085,10000013,belong_to
600129,10000005,belong_to
600129,10000125,belong_to
600129,10000081,belong_to
600129,10000026,belong_to
600161,10000120,belong_to
600161,10000076,belong_to
600161,10000123,belong_to
600161,10000124,belong_to
600161,10000131,belong_to
600161,10000032,belong_to
600161,10000132,belong_to
600196,10000038,belong_to
600196,10000004,belong_to
600196,10000077,belong_to
600196,10000123,belong_to
600196,10000107,belong_to
600196,10000017,belong_to
600196,10000125,belong_to
600196,10000059,belong_to
600196,10000026,belong_to
600196,10000129,belong_to
600196,10000078,belong_to
600196,10000133,belong_to
600196,10000013,belong_to
600200,10000016,belong_to
600200,10000005,belong_to
600200,10000125,belong_to
600200,10000026,belong_to
600201,10000123,belong_to
600201,10000124,belong_to
600201,10000131,belong_to
600201,10000029,belong_to
600211,10000020,belong_to
600211,10000016,belong_to
600216,10000004,belong_to
600216,10000123,belong_to
600216,10000125,belong_to
600216,10000124,belong_to
600216,10000132,belong_to
600216,10000134,belong_to
600222,10000005,belong_to
600222,10000124,belong_to
600222,10000032,belong_to
600222,10000026,belong_to
600252,10000004,belong_to
600252,10000123,belong_to
600252,10000005,belong_to
600252,10000125,belong_to
600252,10000026,belong_to
600267,10000004,belong_to
600267,10000123,belong_to
600267,10000024,belong_to
600267,10000107,belong_to
600267,10000096,belong_to
600267,10000125,belong_to
600267,10000012,belong_to
600267,10000124,belong_to
600267,10000129,belong_to
600267,10000132,belong_to
600267,10000013,belong_to
600276,10000004,belong_to
600276,10000040,belong_to
600276,10000125,belong_to
600276,10000012,belong_to
600276,10000000,belong_to
600276,10000013,belong_to
600285,10000076,belong_to
600285,10000005,belong_to
600285,10000000,belong_to
600285,10000032,belong_to
600329,10000024,belong_to
600329,10000099,belong_to
600329,10000125,belong_to
600329,10000135,belong_to
600332,10000004,belong_to
600332,10000077,belong_to
600332,10000123,belong_to
600332,10000024,belong_to
600332,10000127,belong_to
600332,10000124,belong_to
600332,10000026,belong_to
600351,10000123,belong_to
600351,10000091,belong_to
600351,10000078,belong_to
600380,10000005,belong_to
600380,10000032,belong_to
600380,10000026,belong_to
600380,10000062,belong_to
600420,10000016,belong_to
600420,10000083,belong_to
600422,10000000,belong_to
600422,10000032,belong_to
600436,10000118,belong_to
600436,10000004,belong_to
600436,10000119,belong_to
600436,10000107,belong_to
600436,10000125,belong_to
600436,10000082,belong_to
600436,10000064,belong_to
600466,10000030,belong_to
600466,10000081,belong_to
600479,10000005,belong_to
600479,10000087,belong_to
600488,10000016,belong_to
600488,10000005,belong_to
600513,10000123,belong_to
600513,10000124,belong_to
600513,10000131,belong_to
600513,10000132,belong_to
600518,10000004,belong_to
600518,10000012,belong_to
600518,10000026,belong_to
600518,10000132,belong_to
600518,10000133,belong_to
600521,10000107,belong_to
600521,10000027,belong_to
600521,10000012,belong_to
600521,10000000,belong_to
600530,10000123,belong_to
600530,10000005,belong_to
600530,10000017,belong_to
600530,10000028,belong_to
600530,10000026,belong_to
600535,10000020,belong_to
600535,10000004,belong_to
600535,10000107,belong_to
600535,10000125,belong_to
600535,10000012,belong_to
600535,10000013,belong_to
600557,10000004,belong_to
600557,10000040,belong_to
600557,10000012,belong_to
600557,10000124,belong_to
600557,10000131,belong_to
600566,10000008,belong_to
600566,10000088,belong_to
600572,10000018,belong_to
600572,10000020,belong_to
600572,10000038,belong_to
600572,10000123,belong_to
600572,10000125,belong_to
600572,10000131,belong_to
600572,10000032,belong_to
600572,10000129,belong_to
600594,10000118,belong_to
600594,10000076,belong_to
600594,10000119,belong_to
600594,10000123,belong_to
600594,10000125,belong_to
600594,10000012,belong_to
600594,10000000,belong_to
600594,10000133,belong_to
600613,10000019,belong_to
600613,10000017,belong_to
600645,10000118,belong_to
600645,10000136,belong_to
600645,10000080,belong_to
600645,10000004,belong_to
600645,10000119,belong_to
600645,10000123,belong_to
600645,10000017,belong_to
600645,10000099,belong_to
600645,10000135,belong_to
600645,10000129,belong_to
600664,10000004,belong_to
600664,10000125,belong_to
600666,10000080,belong_to
600666,10000016,belong_to
600666,10000081,belong_to
600666,10000131,belong_to
600750,10000004,belong_to
600750,10000005,belong_to
600750,10000091,belong_to
600750,10000026,belong_to
600771,10000016,belong_to
600781,10000016,belong_to
600781,10000017,belong_to
600781,10000029,belong_to
600789,10000123,belong_to
600789,10000124,belong_to
600789,10000050,belong_to
600812,10000038,belong_to
600812,10000125,belong_to
600812,10000026,belong_to
600812,10000132,belong_to
600812,10000134,belong_to
600829,10000133,belong_to
600867,10000038,belong_to
600867,10000032,belong_to
600976,10000079,belong_to
600976,10000000,belong_to
600976,10000091,belong_to
600993,10000136,belong_to
600993,10000076,belong_to
600993,10000123,belong_to
600993,10000107,belong_to
600993,10000099,belong_to
600993,10000125,belong_to
600993,10000079,belong_to
600993,10000133,belong_to
603998,10000125,belong_to
000004,10000062,belong_to
000078,10000123,belong_to
000078,10000125,belong_to
000078,10000131,belong_to
000078,10000132,belong_to
000078,10000062,belong_to
000153,10000075,belong_to
000153,10000005,belong_to
